;:category;:sales;:date;:unit;:name;:ean;:profit;:category-id;:vat;:weight;:id;:qty
761;Słodycze luz;14.87;2018-11-10;kg;CUK.LUZ MIESZANKA  GRUPA ŻUŁTA Wawel;2902939000000;2.21;121109;23;1.000;F01450_002939;0.744
762;Konserwy mięsne;1.61;2018-11-10;szt;Pasztet Prochowicki 160g Animex;5901081000031;0.39;120703;5;0.160;F01450_003105;1.000
763;Woda;14.07;2018-11-10;szt;WOJCIESZOWIANKA 1,5l Woda L/Gaz;5905453000339;5.16;070101;23;1.500;F01450_003142;9.000
764;Woda;3.07;2018-11-10;szt;WOJCIESZOWIANKA 1,5l W/Gaz;5905453000032;1.09;070101;23;1.500;F01450_003144;2.000
765;Woda;23.78;2018-11-10;szt;WOJCIESZOWIANKA 1,5l Woda N/G;5905453000636;8.93;070101;23;1.500;F01450_003145;15.000
766;Woda;1.87;2018-11-10;szt;WOJCIESZOWIANKA 0,33l Woda Gaz;5905453008519;0.79;070101;23;0.330;F01450_003146;2.000
767;makaron;3.03;2018-11-10;szt;Irwega Sphagetti 400g;5905211000946;0.73;121003;5;0.250;F01450_003956;2.000
768;makaron;1.90;2018-11-10;szt;Rurka Makaron 500g IRWEGA;5905211000120;0.57;121003;5;0.500;F01450_004075;1.000
769;Przekąski;14.77;2018-11-10;szt;Słonecznik Rodzinny 220g PRYMUS;5907641483092;4.92;120101;8;0.220;F01450_005663;5.000
770;Mleko UHT;2.81;2018-11-10;szt;BIAŁE Mleko UHT 3,2% 12x1l Mlekpol;5900820003104;0.58;060804;5;1.000;F01450_006101;1.000
771;Przekąski;4.26;2018-11-10;szt;Chrupki Kukur.60g Ziel.Cebul.Solo;5904918000372;1.56;120101;5;0.000;F01450_007086;3.000
772;makaron;2.00;2018-11-10;szt;Muszelka Mała Makaron 500g IRWEGA;5905211000700;0.67;121003;5;0.500;F01450_007273;1.000
773;Znicze;13.33;2018-11-10;szt;WKŁAD W-5 48H FENIX;5901549057133;4.13;110206;23;1.000;F01450_007910;8.000
